,city_ID,City,Country,lat,lon,temp,wind,cloudiness,humidity
197,3491161,Bull Savanna,JM,17.89,-77.59,18.12,2.32,0,65
198,1539210,Purpe,RU,64.48,76.69,-12.78,0.89,100,74
199,2019118,Nizhniy Tsasuchey,RU,50.52,115.13,3.7,6.2,100,52
200,4301317,Morehead,US,37.27,-87.18,7.2,0.52,90,93
201,103630,Najrān,SA,17.49,44.13,21.0,1.0,69,28
202,1784554,Zhicheng,CN,30.3,111.5,18.89,2.29,86,57
203,3894426,Coyhaique,CL,-45.58,-72.07,12.0,1.0,20,81
204,1507390,Dikson,RU,73.51,80.55,-15.75,13.68,100,93
205,1786867,Yashan,CN,22.2,109.94,21.78,3.97,100,79
206,2294915,Takoradze,GH,4.88,-1.76,25.62,1.75,100,92
207,471909,Vorontsovka,RU,50.61,40.35,-1.89,2.69,0,67
208,3026204,Châteauroux,FR,46.82,1.7,9.57,0.5,90,93
209,863061,Usinsk,RU,65.99,57.53,-2.44,10.53,100,94
210,5924351,Clyde River,CA,70.47,-68.59,-31.0,3.1,75,74
211,107304,Buraidah,SA,26.33,43.98,15.0,2.1,0,72
212,2071860,Esperance,AU,-33.87,121.9,27.0,5.1,40,51
213,5546220,Saint George,US,37.1,-113.58,14.63,4.6,1,58
214,3984997,San Quintín,MX,30.48,-115.95,13.99,2.43,7,69
215,1525376,Bestöbe,KZ,52.5,73.1,1.04,5.62,100,97
216,3571913,Marsh Harbour,BS,26.54,-77.06,22.59,5.44,91,82
217,2018735,Nyurba,RU,63.28,118.33,-11.45,2.08,42,92
218,1529376,Korla,CN,41.76,86.15,3.03,2.6,33,93
219,653272,Kemijärvi,FI,66.71,27.43,-6.01,3.96,96,94
220,1649378,Tambun,ID,-6.26,107.07,30.88,1.5,20,70
221,2171099,Codrington,AU,-38.27,141.97,21.65,5.72,100,50
222,1524325,Ekibastuz,KZ,51.67,75.37,0.91,6.62,100,99
223,1486321,Yar-Sale,RU,66.83,70.83,-6.36,6.92,100,94
224,563990,Dvinskoy,RU,62.15,45.12,-4.89,4.56,99,92
225,2181625,Te Anau,NZ,-45.42,167.72,10.78,2.11,0,56
226,3421719,Narsaq,GL,60.92,-46.05,-10.0,1.5,0,56
227,5354943,Half Moon Bay,US,37.46,-122.43,9.05,3.1,75,71
228,3662927,Pauini,BR,-7.71,-66.98,21.75,0.5,100,99
229,3893726,Constitución,CL,-35.33,-72.42,12.18,2.09,74,93
230,1644605,Galesong,ID,-5.32,119.37,30.0,1.0,20,74
231,3675504,Manaure,CO,11.78,-72.44,25.18,7.61,100,86
232,5110365,Broome,US,42.25,-75.83,2.97,6.2,90,59
233,162158,Baharly,TM,38.44,57.43,15.1,4.33,21,60
234,3939168,Huarmey,PE,-10.07,-78.15,23.65,0.95,99,68
235,4031574,Provideniya,RU,64.38,-173.3,-1.0,6.0,90,86
236,986717,Kruisfontein,ZA,-34.0,24.73,14.87,4.2,40,79
237,1497543,Nizhnevartovsk,RU,60.93,76.55,-15.0,3.0,7,92
238,2167426,Emerald,AU,-23.53,148.17,28.39,4.6,0,42
239,5882953,Aklavik,CA,68.22,-135.01,-6.0,4.6,75,79
240,2074865,Carnarvon,AU,-24.87,113.63,26.0,7.7,40,65
241,4021858,Guerrero Negro,MX,27.98,-114.06,15.58,6.22,100,69
242,505019,Priyutnoye,RU,46.1,43.51,-0.85,0.91,100,55
243,5367788,Lompoc,US,34.64,-120.46,8.54,2.1,20,81
244,3115824,Muros,ES,42.78,-9.06,8.04,2.6,20,87
245,3662762,Porto Velho,BR,-8.76,-63.9,24.0,0.5,40,94
246,53654,Mogadishu,SO,2.04,45.34,28.4,8.86,97,82
247,3577430,Road Town,VG,18.42,-64.62,25.08,7.7,40,78
248,1651810,Airai,TL,-8.93,125.41,27.31,2.38,59,56
249,902721,Mwense,ZM,-10.38,28.7,18.7,0.96,89,96
250,4722062,Redwater,US,33.36,-94.25,11.0,1.5,90,100
251,2017215,Sangar,RU,63.92,127.47,-12.01,2.87,92,87
252,1528796,At-Bashi,KG,41.17,75.81,-9.76,1.54,0,41
253,1571058,Phan Thiet,VN,10.93,108.1,31.18,3.43,53,44
254,3904906,Santa Cruz de la Sierra,BO,-17.8,-63.17,24.0,1.63,75,94
255,3416888,Grindavik,IS,63.84,-22.43,0.53,3.1,90,90
256,777019,Vardø,NO,70.37,31.11,-3.88,13.16,100,81
257,5983720,Iqaluit,CA,63.75,-68.51,-14.2,6.2,90,71
258,72181,Marzuq,YE,14.4,46.47,19.6,0.62,77,65
259,2527087,Tiznit Province,MA,29.58,-9.5,9.62,1.02,0,69
260,3694112,Paita,PE,-5.09,-81.11,26.65,3.11,100,66
261,2191562,Dunedin,NZ,-45.87,170.5,12.22,3.58,51,59
262,2644605,Lerwick,GB,60.15,-1.15,6.5,15.4,42,81
263,1801850,Luorong,CN,24.41,109.61,14.86,2.51,100,88
264,6137462,Saint-Augustin,CA,51.23,-58.65,-11.95,4.0,0,86
265,1106677,Bambous Virieux,MU,-20.34,57.76,23.27,4.1,75,94
266,3700393,Tubualá,PA,9.52,-79.03,26.0,2.1,20,65
267,2180815,Tuatapere,NZ,-46.13,167.68,11.11,1.79,1,76
268,2192362,Christchurch,NZ,-43.53,172.63,13.29,4.6,91,58
